	Label	Area	Mean	Min	Max
366	J_M_pos_control.tif	0.00136	32929.47368	24664	43164
367	J_M_pos_control.tif	0.00192	34397.64179	24552	47004
368	J_M_pos_control.tif	0.00099	31639.71014	24636	39996
369	J_M_pos_control.tif	0.00092	31601.31250	24468	39320
370	J_M_pos_control.tif	0.00153	32848.59813	24652	40768
371	J_M_pos_control.tif	0.00118	32473.21951	24524	41096
372	J_M_pos_control.tif	0.00165	31619.68696	24556	40420
373	J_M_pos_control.tif	0.00150	32510.09524	24464	41768
374	J_M_pos_control.tif	0.00202	32700.51064	24684	42864
375	J_M_pos_control.tif	0.00128	32703.68539	24832	42400
376	J_M_pos_control.tif	0.00156	30946.05505	24792	37160
377	J_M_pos_control.tif	0.00062	30338.23256	25232	36596
378	J_M_pos_control.tif	0.00102	31448.56338	24472	38896
379	J_M_pos_control.tif	0.00235	34547.21951	24556	46440
380	J_M_pos_control.tif	0.00208	31899.44828	24560	41984
381	J_M_pos_control.tif	0.00337	30339.60851	24552	39140
382	J_M_pos_control.tif	0.00183	31403.81250	24444	39832
383	J_M_pos_control.tif	0.00257	33903.24022	24596	44440
384	J_M_pos_control.tif	0.00139	32637.89691	24468	41896
385	J_M_pos_control.tif	0.00082	31424.98246	24504	38872
386	J_M_pos_control.tif	0.00130	34396.96703	24700	46680
387	J_M_pos_control.tif	0.00143	33336.04000	24488	43012
388	J_M_pos_control.tif	0.00205	32500.25175	24500	42204
389	J_M_pos_control.tif	0.00126	32280.31818	24456	42208
390	J_M_pos_control.tif	0.00535	32892.07507	24468	43472
391	J_M_pos_control.tif	0.00046	27555.25000	24692	31148
392	J_M_pos_control.tif	0.00278	32291.87629	24504	42060
393	J_M_pos_control.tif	0.00139	33054.59794	24660	43092
394	J_M_pos_control.tif	0.00168	33695.65812	24540	45384
395	J_M_pos_control.tif	0.00054	31917.36842	24480	40128
396	J_M_pos_control.tif	0.00103	30263.44444	24856	37820
397	J_M_pos_control.tif	0.00216	33362.75497	24452	44360
398	J_M_pos_control.tif	0.00694	31913.03306	24452	42328
399	J_M_pos_control.tif	0.00192	33462.44776	24460	42536
400	J_M_pos_control.tif	0.00139	33367.95876	24588	43840
401	J_M_pos_control.tif	0.00384	32135.13433	24492	42232
402	J_M_pos_control.tif	0.00090	31044.69841	24504	38920
403	J_M_pos_control.tif	0.00099	31444.00000	24596	39376
404	J_M_pos_control.tif	0.00318	31950.63063	24500	40680
405	J_M_pos_control.tif	0.00165	31838.19130	24472	40668
406	J_M_pos_control.tif	0.00221	32967.58442	24536	42676
407	J_M_pos_control.tif	0.00050	30060.80000	24552	37380
408	J_M_pos_control.tif	0.00119	30598.50602	24508	37712
409	J_M_pos_control.tif	0.00054	29680.21053	24480	36020
410	J_M_pos_control.tif	0.00347	33172.42975	24480	43348
411	J_M_pos_control.tif	0.00410	33277.16084	24480	44756
412	J_M_pos_control.tif	0.00050	31783.42857	24892	40204
413	J_M_pos_control.tif	0.00211	33398.77551	24504	44276
414	J_M_pos_control.tif	0.00092	31326.81250	24780	39060
415	J_M_pos_control.tif	0.00182	31622.58268	24536	40788
416	J_M_pos_control.tif	0.00149	33287.23077	24464	43484
417	J_M_pos_control.tif	0.00244	33067.45882	24516	42084
418	J_M_pos_control.tif	0.00097	29908.88235	24604	36060
419	J_M_pos_control.tif	0.00348	33493.10288	24532	42952
420	J_M_pos_control.tif	0.00060	29957.90476	24460	35544
421	J_M_pos_control.tif	0.00138	33175.91667	24564	43296
422	J_M_pos_control.tif	0.00112	31635.69231	24448	40056
423	J_M_pos_control.tif	0.00320	34227.15695	24444	44680
424	J_M_pos_control.tif	0.00067	29147.57447	24508	34416
425	J_M_pos_control.tif	0.00171	29823.96639	24508	36568
426	J_M_pos_control.tif	0.00235	31937.26829	24488	39872
427	J_M_pos_control.tif	0.00206	32100.66667	24492	40960
428	J_M_pos_control.tif	0.01072	31762.20856	24528	44320
429	J_M_pos_control.tif	0.00143	32751.72000	24556	42120
430	J_M_pos_control.tif	0.00224	33647.07692	24592	44472
431	J_M_pos_control.tif	0.00314	32534.33790	24476	42696
